model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-26392.58361805001,root_mean_squared_error,2.6772284507751465,150.2848174571991,0.0005998611450195312,0.015128374099731445,2,True,5
CatBoost,-26503.406585190485,root_mean_squared_error,0.016255617141723633,119.27946352958679,0.016255617141723633,119.27946352958679,1,True,4
LightGBM,-28362.696818629167,root_mean_squared_error,2.6603729724884033,30.990225553512573,2.6603729724884033,30.990225553512573,1,True,2
LightGBMXT,-29843.14622115484,root_mean_squared_error,3.2610692977905273,38.166687965393066,3.2610692977905273,38.166687965393066,1,True,1
RandomForestMSE,-38968.21484291145,root_mean_squared_error,0.382321834564209,95.33459401130676,0.382321834564209,95.33459401130676,1,True,3
