model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.9638766464978462,roc_auc,0.5889873504638672,264.4671540260315,0.0008590221405029297,0.061750173568725586,2,True,5
LightGBM,0.9532568910136701,roc_auc,0.48925328254699707,197.95449018478394,0.48925328254699707,197.95449018478394,1,True,2
LightGBMXT,0.9445357436318818,roc_auc,0.7245523929595947,290.9304437637329,0.7245523929595947,290.9304437637329,1,True,1
RandomForestGini,0.9051505191603795,roc_auc,0.09887504577636719,66.45091366767883,0.09887504577636719,66.45091366767883,1,True,3
CatBoost,0.5537523966036701,roc_auc,0.03530454635620117,9.614537239074707,0.03530454635620117,9.614537239074707,1,True,4
